timestamp,source,scenario,lat,lon,alt,lat_std,lon_std,mean_cnr,min_cnr,max_cnr,std_cnr,cnr_trend,num_satellites,sat_mean,sat_min,sat_visibility,sat_drop_rate,pdop,hdop,vdop,gdop,dop_ratio,solution_status,baseline_sats,solution_age,fix_continuity,fix_transitions,position_variance,cnr_variance,elevation_violations,multipath,clock_bias,iono_delay,tropo_delay,cycle_slips,residual_mean,residual_std,label,label_name
2026-05-05 09:01:09.100000+00:00,scenario_a_r1,scenario_a,30.35998241,119.97083116,15.0053,2.0065,4.4465,36.75,36.75,36.75,0.0,0.0,20.0,19.5,19.0,0.4,0.0,1.9,1.4,1.3,1.96468827043885,1.0769230769230769,0.8,20.0,0.0,1.0,0.0,8.499999999999904e-05,0.0,0.0,0.00011564625850340005,0.0,0.0,2.12593852,0.0,7.1105,0.18738329701443548,0,CLEAN
2026-05-05 09:01:10+00:00,scenario_a_r1,scenario_a,30.359982065,119.97083174333333,15.0264,2.0016666666666665,4.449666666666666,37.0,36.75,37.5,0.3535533905932738,0.37500000000000305,18.0,19.0,18.0,0.36,-2.0,2.1,1.5,1.6,2.1587033144922905,0.9375,0.8,18.0,0.0,1.0,0.0,0.00014266666666666898,0.12500000000000003,0.0,0.0001927927927927959,0.0,0.0,2.12569376,0.0,6.667000000000001,0.7795081782765334,0,CLEAN
2026-05-05 09:01:11+00:00,scenario_a_r1,scenario_a,30.359977685,119.97083223166666,14.9636,2.007,4.4795,36.5,35.0,37.5,0.9185586535436918,-0.4499999999999974,18.0,18.75,18.0,0.36,-1.0,2.1,1.5,1.6,2.1587033144922905,0.9375,0.8,18.0,0.0,1.0,0.0,0.0037689999999999963,0.84375,0.0,0.005163013698630131,0.0,0.0,2.1264222399999997,0.0,8.50425,3.729214249230884,0,CLEAN
2026-05-05 09:01:12+00:00,scenario_a_r1,scenario_a,30.35996668,119.97083116833333,15.201,2.0792,4.8814,36.29565217391304,35.0,37.5,0.9176230904384761,-0.42934782608695826,16.0,18.2,16.0,0.32,-1.3333333333333333,2.8,1.7,2.3,2.8442925306655784,0.7391304347826088,0.8,16.0,0.0,1.0,0.0,0.8365089999999998,0.8420321361058597,0.0,1.1523542764734065,0.0,0.0,2.1236683999999997,0.0,9.548,3.9846391932018137,0,CLEAN
2026-05-05 09:01:13+00:00,scenario_a_r1,scenario_a,30.359956141666668,119.97083072,15.3728,2.1483333333333334,5.0755,36.200922266139656,35.0,37.5,0.8640383231597163,-0.3265386787125921,17.0,18.0,16.0,0.34,-1.0,2.7,1.7,2.1,2.7459060435491964,0.8095238095238094,0.8,17.0,0.0,1.0,0.0,0.9239325666666668,0.7465622238886543,0.0,1.276117442359835,0.0,0.0,2.1216755199999997,0.0,10.6135,4.417422449800336,0,CLEAN
2026-05-05 09:01:14+00:00,scenario_a_r1,scenario_a,30.359948356666667,119.97083354666667,15.2476,2.1775714285714285,5.222571428571428,36.09429700734048,35.0,37.5,0.8415011304227636,-0.28405561829474685,17.0,17.857142857142858,16.0,0.34,-0.8,2.4,1.6,1.7,2.4515301344262523,0.9411764705882354,0.8,17.0,0.0,1.0,0.0,0.927337904761905,0.708124152502789,0.0,1.2846044689183345,0.0,0.0,2.12312784,0.0,11.419,4.561048417487657,0,CLEAN
2026-05-05 09:01:15+00:00,scenario_a_r1,scenario_a,30.359943213333334,119.970841095,14.46,2.2025,5.3294999999999995,36.157509881422925,35.0,37.5,0.8047233720902338,-0.14722849614154018,16.0,17.625,16.0,0.32,-0.8333333333333334,2.5,1.7,1.9,2.5495097567963922,0.8947368421052632,0.8,16.0,0.0,1.0,0.0,0.8913022857142859,0.6475797055882769,0.0,1.2325271964762996,0.0,0.0,2.1322639999999997,1.0,12.041125,4.574669213256221,0,CLEAN
2026-05-05 09:01:16+00:00,scenario_a_r1,scenario_a,30.359939148333332,119.97085089166667,13.1123,2.2184444444444447,5.398777777777777,36.053052261747915,35.0,37.5,0.814197494120874,-0.16573451910408266,17.0,17.555555555555557,16.0,0.34,-0.7142857142857143,2.7,1.7,2.1,2.7459060435491964,0.8095238095238094,0.8,17.0,0.0,1.0,0.0,0.8253722222222224,0.6629175594327107,0.0,1.1446634479515867,0.0,0.0,2.1478973199999998,1.0,12.111777777777778,4.284457368727625,0,CLEAN
2026-05-05 09:01:17+00:00,scenario_a_r1,scenario_a,30.359930076666668,119.97085556333333,12.5168,2.2671,5.6679,35.94339920948617,34.95652173913044,37.5,0.839547455670195,-0.18034495149119537,17.0,17.5,16.0,0.34,-0.625,1.8,1.3,1.2,1.8681541692269406,1.0833333333333335,0.8,17.0,0.0,1.0,0.0,1.4816055333333333,0.704839930322298,0.0,2.0610258989393366,0.0,0.0,2.15480512,0.0,14.058699999999998,7.363560069694549,0,CLEAN
2026-05-05 09:01:18+00:00,scenario_a_r1,scenario_a,30.359921115,119.9708576,12.4232,2.387272727272727,5.973272727272728,35.74399928135106,33.75,37.5,1.0190028883291378,-0.23495867768594966,13.0,17.09090909090909,13.0,0.26,-1.0,1.9,1.4,1.3,1.96468827043885,1.0769230769230769,0.8,13.0,0.0,1.0,0.0,2.5180788363636357,1.0383668864231252,0.0,3.5223798217752997,0.0,0.0,2.15589088,0.0,16.110272727272726,9.751834310435234,0,CLEAN
2026-05-05 09:01:19+00:00,scenario_a_r1,scenario_a,30.35991856,119.97085420333333,12.8789,2.9131666666666667,6.551416666666667,35.16533267457181,28.8,37.5,2.1529611636929538,-0.4478143398103868,15.0,16.916666666666668,13.0,0.3,-0.9,1.8,1.3,1.2,1.8681541692269406,1.0833333333333335,0.8,15.0,0.0,1.0,0.0,9.61894078030303,4.635241772370118,0.0,13.6767379244197,0.0,0.0,2.15060476,1.0,17.919749999999997,11.213539625462522,0,CLEAN
